year;competition_name;event_name;distance;time_limit;main_measurement_unit;second_measurement_unit;min_weight;max_weight;weights;deadlift;attempts;max_lifts;lifts_num;implements_num;implements
2020;Arnold Strongman Classic;Atlas Stones;;;s;reps;;;;;;5;;5.0;
2020;Arnold Strongman Classic;Power Stairs;;75.0;s;stairs;275.0;275.0;[275.0];;;5.0;;1;['']
2020;Arnold Strongman Classic;Max Axle Press;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Farmer's Walk;40.0;;s;m;150.0;150.0;[150.0];;;;;;
2020;Arnold Strongman Classic;Medley;;;s;;100.0;400.0;[400.0, 100.0];;;6.0;;2;['tire flip', 'sack loading']
2020;Arnold Strongman Classic;Deadlift;;;reps;;;;;;;;;;
2020;Arnold Strongman Classic;Atlas Stones;;;s;reps;;;;;;5;;5.0;
2020;Arnold Strongman Classic;Max Log Lift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Frame Carry;40.0;;s;m;350.0;350.0;[350.0];;;;;;
2020;Arnold Strongman Classic;Shield Carry;;;m;;190.0;190.0;[190.0];;;;;;
2020;Arnold Strongman Classic;Overhead Medley;;;s;reps;100.0;155.0;[100.0, 155.0, 120.0];;;12.0;;3;['dumbbell', 'axle', 'block']
2020;Arnold Strongman Classic;Loading Race;;;s;reps;120.0;120.0;[120.0, 120.0];;;16.0;;2;['kegs', 'sacks']
2020;Arnold Strongman Classic;Max Log Lift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Super Yoke;40.0;;s;m;400.0;400.0;[400.0];;;;;;
2020;Arnold Strongman Classic;Deadlift;;;reps;;380.0;380.0;[380.0];Car deadlift, side handles;;;;;[]
2020;Arnold Strongman Classic;Farmer's Walk;80.0;;s;m;125.0;125.0;[125.0];;;;;;
2020;Arnold Strongman Classic;Keg Toss;4.88;;s;reps;18.0;25.0;[18.0, 25.0];;;8;;1;['']
2020;Arnold Strongman Classic;Atlas Stones;;;s;reps;100.0;180.0;[100.0, 180.0];;;5;;5.0;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Super Yoke;40.0;;s;;450.0;450.0;[450.0];;;;;;
2020;Arnold Strongman Classic;Front Hold;;;s;;30.0;30.0;[30.0];;;;;;
2020;Arnold Strongman Classic;Dumbbell Press;;60.0;reps;;100.0;100.0;[100.0];;;;;;
2020;Arnold Strongman Classic;Atlas Stones;;;s;reps;100.0;200.0;[100.0, 200.0];;;6;;6.0;
2020;Arnold Strongman Classic;Loading Race;;;s;reps;;;;;;4;;4.0;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;;;;;;
2020;Arnold Strongman Classic;Medley;;;s;m;;;;;;;;;
2020;Arnold Strongman Classic;Car Walk;30.0;;s;m;440.0;440.0;[440.0];;;;;;
2020;Arnold Strongman Classic;Front Hold;;;s;;30.0;30.0;[30.0];;;;;;
2020;Arnold Strongman Classic;Log Lift;;60.0;reps;;150.0;150.0;[150.0];;;;;;
